,Subject,obs,block,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty
37,127,38,2,0.0007066730807874233,-1.374239883564132,69.71607668422341,0.0,69.7,5.725320848068271,28.269065809842225,0.10032095938281338
38,127,39,2,6.664185148164137e-08,-2.767016735907374,54.84193982396669,0.0,54.8,3.749778504273698,22.60417463432946,0.443310019342016
39,127,40,2,0.00043271371885100773,-1.15516077015394,97.26188691327171,10.0,85.7,4.649054171741824,38.760292243909305,0.036616736216187724
40,127,41,2,8.107370330634467e-11,-0.21777924476041488,18.83127915623123,86.5,0.0,4.0007247853340395,34.55524735270168,0.8064704206442833
41,127,42,2,1.8006125812597418e-08,-0.3274154460237309,27.671366578347524,84.5,0.0,2.9553026907014055,33.81173783799935,0.4923552036887305
42,127,43,2,1.8074430840897548e-13,-0.13736572467171893,8.670185305450351,63.1,0.0,3.8953447409292408,25.77149565867821,1.3682340315552886
43,127,44,2,0.007005909604276828,-1.1518394219832757,70.37344229321644,0.0,70.4,5.359528542384547,28.53295873295578,0.03657624499581847
44,127,45,2,0.009712848084898362,-7.962816353832011,65.38808354789728,0.1,64.3,4.378206028004304,26.289108200725146,1.4913629925437462
45,127,46,2,0.019969981690928118,-7.415925328404063,87.85537943527211,0.3,85.9,5.113106056832709,34.50507176264051,1.3544055825681312
46,127,47,2,0.000656820809873282,-1.3791477766152722,50.11103568737985,0.9,48.9,4.126105101420139,20.812185400081486,0.1040782441615057
47,127,48,2,1.8145152921311691e-06,-0.4637485628278889,32.99256369680048,71.1,0.0,4.31108172928166,28.796667595496903,0.2997354015882419
48,127,49,2,3.362325318168047e-08,-2.913621498990455,82.66311808061302,0.0,82.7,5.271103524159259,33.14152340728999,0.46197570238955593
49,127,50,2,9.790454611868782e-05,-1.5958263167583118,83.55168541132502,0.0,83.6,4.4542804143441685,33.47675719836705,0.15885887153844575
50,127,51,3,1.621535955509401e-07,-2.5874296419533827,64.18268127899279,0.0,64.2,3.730579692426582,26.18898213865889,0.398762548739211
51,127,52,3,0.0031635680171866465,-1.1467227863482434,86.2393907614375,1.6,84.4,4.833267978887345,34.59375211845951,0.034691449671445884
52,127,53,3,0.00044290457688589413,-0.7448674337942885,55.01221523662917,71.8,1.5,3.2249913590253283,29.831700905122933,0.09095600807945586
53,127,54,3,0.02991255398901793,-0.3174699340540985,24.41079965034283,72.7,1.3,3.4842218066504564,30.074136791787186,0.5165528288643193
54,127,55,3,1.2999403642521834e-05,-0.5380472789925409,45.83289865505018,85.2,0.0,2.784170941873786,34.072105165976936,0.2249828713604201
55,127,56,3,0.000100548167184078,-1.321543748141227,58.364624867690885,1.0,57.0,4.320822409481074,23.97597424679681,0.08619515447970102
56,127,57,3,0.005898542076621771,-2.542332297524516,53.16344521062181,0.3,52.4,2.846451163022364,21.85498889766013,0.3941588863914218
57,127,58,3,0.014227980951358687,-0.3535587271229315,31.16778071213836,85.6,0.9,4.8028716713380755,34.70061657364026,0.44233365050792467
58,127,59,3,0.00019856232048065525,-1.512819513340949,56.35045177779971,0.0,56.4,3.69773704570736,23.217217822811094,0.14104389317387633
59,127,60,3,0.009026221715751737,-1.107022069023954,75.59316188154995,0.5,75.1,5.051004541605727,30.577915925502673,0.02486222970904322
60,127,61,3,4.73390813215957e-08,-2.839360037544122,63.97520053904773,0.0,64.0,4.346796047338957,26.11311308974752,0.4543048673364456
61,127,62,3,1.9924106408275577e-05,-0.5556707478173203,44.564796088265204,80.2,0.0,3.9171852006139996,32.208965270518995,0.2116959688124622
62,127,63,3,0.005169087927674232,-1.1797613571286814,93.16123275327736,0.0,93.2,3.9601383159683703,37.03738493819238,0.04340963014829967
63,127,64,3,0.004152362326395487,-1.6066359477573546,55.80232645408182,1.0,54.2,4.218199024664134,22.90314293210849,0.16648186345801813
64,127,65,3,0.002654093090713072,-1.242326106971362,54.256778688288534,0.0,54.3,4.789095618233437,22.412342617693493,0.06327106030558624
65,127,66,3,0.00046287764451025115,-0.7047149116451205,46.00879565379468,65.3,0.0,3.847741045459828,26.605966954860637,0.11372664223031238
66,127,67,3,6.576328819707378e-05,-0.5929285925064885,49.719476000711595,83.8,0.1,4.499557914151728,33.613416874941926,0.18274244150993088
67,127,68,3,0.0006809954796637152,-0.7256352742450657,56.39940501541963,77.7,0.0,3.7271003605814585,31.27436473159586,0.1008759985061912
68,127,69,3,0.01120866180823421,-0.9016100868459113,47.64846637984497,52.8,0.0,2.721573457340753,21.836097664147797,0.026088003844416383
69,127,70,3,2.082066963282614e-09,-3.5942340857823645,89.01334441613639,0.0,89.0,5.325401748721966,35.4829425624236,0.6004668365801885
70,127,71,3,1.432240992471634e-10,-0.22733518029401503,19.60030031604202,86.2,0.0,2.9972617543668996,34.44379850154785,0.7653214988890944
71,127,72,3,0.012408388163051565,-2.175046717806958,63.18061850619235,1.0,61.0,5.499871555118853,25.502230351888002,0.3058441984985319
72,127,73,3,0.006333363064258912,-1.1610739403404056,99.62506255881995,0.0,99.6,3.4294291221222535,39.39669560590155,0.038149920317359025
73,127,74,3,2.2728547598549476e-05,-1.7818277857025895,92.64314739714541,0.0,92.6,3.060062698006614,36.81562785710439,0.20480672806981667
74,127,75,3,5.662137425588298e-15,-9.438222256388787,92.74279835921718,0.0,92.7,5.70577851031106,36.85259435514327,1.7388149567481124
