Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
126,3,63.0,0.02028279350189575,-1.1000189455906253,48.828905855612774,36.68333333333333,26.191666666666666,5.381423979798986,16.432794552953425,0.10990726381580859,-3.8979823631035497
127,1,13.0,0.002094928034892947,-1.251632505631202,43.79867841627487,47.06399999999999,25.62,5.296718591000406,29.484150919861687,0.6113548115015113,-6.168236077084463
127,2,38.0,0.00311520455237273,-1.7295245427142345,58.84427954131488,30.436,45.02,4.520960785823066,30.480993402324202,0.40852868858623026,-5.771460462005364
127,3,63.0,0.004246493535312355,-1.635927858362907,60.74636796634152,30.668000000000003,43.756,4.032852439320736,30.063442995769286,0.2948216054492634,-5.461661687102049
128,1,13.0,0.005707323147384891,-1.5917629934739836,52.76475948066032,38.012,33.432,5.219346920417,20.508828878908712,0.21767092362494087,-5.166005166043923
128,2,38.0,0.0063038543875286335,-0.8697028142633673,50.750601493505876,42.775999999999996,24.648000000000003,4.782962346481199,20.579760367169587,0.15815100691593764,-5.066594025118358
128,3,63.0,0.006719304963307811,-2.1556190989709934,59.873964949765096,29.936,42.356,4.593785984565483,20.479890775604453,0.26460192156494283,-5.002770557875326
129,1,13.0,0.0016699908345828884,-1.3060028725118227,50.145797551811235,43.9,29.8,6.12159023145947,27.44109048797241,0.43379770822510005,-6.394937140842253
129,2,38.0,0.0009043346582507938,-1.8128908626161782,50.58543954519152,40.848,31.372000000000003,5.583080924026655,26.97358833263178,0.4908888140698927,-7.008311068898085
129,3,63.0,0.0006276531048756962,-1.4981911715803429,62.65808882692853,23.14,54.292,6.416176220124219,28.543968275395194,0.3930238950565807,-7.373522924885723
130,1,13.0,0.004509803804131181,-1.5751623708519618,50.95188665687019,43.15,30.575,5.942729465864697,31.228887079009798,0.5327451641184251,-5.401501628823745
