,Feature,Beta,Node1,Node2
4772,LH_Cont_pCun_1__LH_Vis_3,0.0008913052834300833,36.0,3.0
4771,RH_Cont_PFCl_3__LH_SomMot_6,0.0008825946832043103,85.0,15.0
4770,RH_Default_PFCv_1__LH_SalVentAttn_FrOperIns_2,0.0008764671166940701,94.0,26.0
4769,RH_Cont_PFCl_1__RH_DorsAttn_FEF_1,0.0008689434350468108,83.0,73.0
4768,RH_DorsAttn_Post_1__RH_SomMot_8,0.0008640814665164828,67.0,66.0
4767,RH_DorsAttn_Post_4__LH_SomMot_3,0.0008604571009772605,70.0,12.0
4766,RH_DorsAttn_Post_2__LH_Cont_Par_1,0.0008437297252918914,68.0,34.0
4765,LH_SalVentAttn_FrOperIns_2__LH_Vis_4,0.0008370601918402554,26.0,4.0
4764,RH_SalVentAttn_TempOccPar_2__LH_Default_PFC_1,0.00081569965271324,75.0,42.0
4763,LH_Default_pCunPCC_1__LH_DorsAttn_FEF_1,0.0008129203297082147,49.0,23.0
4762,RH_Default_pCunPCC_2__LH_DorsAttn_Post_1,0.0008128120827171414,100.0,16.0
4761,RH_Default_Temp_1__LH_SalVentAttn_FrOperIns_2,0.0008101954526722304,91.0,26.0
4760,LH_Default_pCunPCC_1__LH_Vis_7,0.0008021872286353076,49.0,7.0
4759,RH_DorsAttn_Post_4__RH_SomMot_5,0.0007900415936993036,70.0,63.0
4758,RH_DorsAttn_PrCv_1__RH_Vis_7,0.0007854079751376308,72.0,57.0
4757,RH_Cont_PFCl_1__LH_DorsAttn_FEF_1,0.0007821972375901249,83.0,23.0
4756,RH_DorsAttn_FEF_1__RH_Vis_4,0.0007802715009246903,73.0,54.0
4755,RH_Cont_PFCl_1__LH_DorsAttn_PrCv_1,0.0007764023777673877,83.0,22.0
4754,RH_DorsAttn_Post_1__RH_SomMot_7,0.0007556552341935448,67.0,65.0
4753,LH_SalVentAttn_FrOperIns_1__LH_Vis_1,0.0007529657012018417,25.0,1.0
4752,LH_Default_PFC_2__LH_Cont_PFCl_1,0.0007524564684975192,43.0,35.0
4751,RH_Cont_Par_1__RH_Limbic_TempPole_1,0.0007485480205376768,81.0,80.0
4750,RH_Default_Temp_3__LH_Default_Par_2,0.0007485346200103273,93.0,41.0
4749,RH_Cont_PFCmp_1__LH_SalVentAttn_PFCl_1,0.0007438750742635707,88.0,27.0
4748,LH_Default_PFC_6__LH_SalVentAttn_PFCl_1,0.000738683655771681,47.0,27.0
4747,LH_Default_PFC_7__LH_SalVentAttn_Med_3,0.0007374146573336503,48.0,30.0
4746,RH_SomMot_6__LH_DorsAttn_Post_1,0.0007308843709641151,64.0,16.0
4745,RH_Cont_pCun_1__LH_DorsAttn_FEF_1,0.000725250505510359,89.0,23.0
4744,RH_Default_Par_1__LH_DorsAttn_Post_3,0.0007185292553342225,90.0,18.0
4743,RH_SalVentAttn_Med_2__LH_Default_pCunPCC_1,0.0007185289075451334,78.0,49.0
4742,RH_SomMot_7__LH_SalVentAttn_FrOperIns_1,0.0007137263611904002,65.0,25.0
4741,RH_Limbic_TempPole_1__LH_DorsAttn_Post_6,0.0007074069877367887,80.0,21.0
4740,RH_Cont_PFCl_4__LH_Default_PFC_4,0.0006956319931705148,86.0,45.0
4739,RH_Default_Temp_2__LH_SalVentAttn_Med_1,0.0006886284970845417,92.0,28.0
4738,RH_SomMot_6__LH_Limbic_TempPole_2,0.0006883598459829213,64.0,33.0
4737,RH_Cont_pCun_1__LH_Default_PFC_7,0.000684910195523286,89.0,48.0
4736,LH_Limbic_TempPole_1__LH_Vis_3,0.0006822934551991496,32.0,3.0
4735,RH_Limbic_OFC_1__RH_Vis_6,0.0006783808958525299,79.0,56.0
4734,RH_Cont_PFCl_2__LH_Default_PFC_3,0.0006730562669233677,84.0,44.0
4733,RH_Cont_PFCmp_1__LH_Vis_7,0.0006718637446679808,88.0,7.0
4732,RH_Cont_PFCl_3__RH_SomMot_1,0.0006611345954618948,85.0,59.0
4731,RH_SomMot_7__LH_SomMot_4,0.000652174447973124,65.0,13.0
4730,LH_Default_PFC_7__LH_SomMot_5,0.0006494267219521438,48.0,14.0
4729,RH_DorsAttn_Post_4__RH_SomMot_8,0.0006452494388685288,70.0,66.0
4728,LH_Default_PFC_6__LH_SalVentAttn_Med_3,0.000644869648490265,47.0,30.0
4727,RH_SomMot_2__LH_SomMot_2,0.000644156930338709,60.0,11.0
4726,RH_Default_PFCdPFCm_3__LH_Default_PFC_2,0.0006256610008409567,98.0,43.0
4725,RH_SalVentAttn_TempOccPar_1__LH_DorsAttn_PrCv_1,0.0006239987542616544,74.0,22.0
4724,RH_Default_Temp_1__RH_Cont_PFCmp_1,0.0006190564987023309,91.0,88.0
4723,RH_Vis_7__LH_Cont_pCun_1,0.000613899220471436,57.0,36.0
4722,RH_Cont_Cing_1__LH_Default_pCunPCC_2,0.0006067743768671368,87.0,50.0
4721,RH_Default_PFCdPFCm_1__RH_Default_Par_1,0.0005987328276032669,96.0,90.0
4720,RH_Default_PFCdPFCm_3__LH_SomMot_2,0.0005949137907616878,98.0,11.0
4719,RH_Cont_PFCl_4__LH_SomMot_4,0.0005940547646533762,86.0,13.0
4718,RH_Vis_1__LH_SomMot_6,0.0005884799774404687,51.0,15.0
4717,RH_SalVentAttn_FrOperIns_1__RH_SalVentAttn_TempOccPar_1,0.0005865207288661658,76.0,74.0
4716,RH_Cont_PFCl_1__RH_Vis_4,0.0005832612904125379,83.0,54.0
4715,RH_Cont_Par_2__LH_DorsAttn_Post_1,0.0005756146641701755,82.0,16.0
4714,LH_DorsAttn_Post_6__LH_SomMot_4,0.000567833768243683,21.0,13.0
4713,RH_Cont_Par_2__RH_SomMot_2,0.0005615057872517493,82.0,60.0
4712,RH_Default_PFCdPFCm_1__RH_Vis_5,0.0005596568916784683,96.0,55.0
4711,RH_Limbic_TempPole_1__LH_Cont_PFCl_1,0.0005581651298996448,80.0,35.0
4710,LH_Default_Par_2__LH_SalVentAttn_Med_3,0.0005483582133370896,41.0,30.0
4709,RH_DorsAttn_Post_4__LH_Default_Temp_2,0.0005435143021119442,70.0,39.0
